intervallo,strategia,fee_%,rsi_window,rsi_window2,rsi_window3,ema_window,ema_window2,ema_window3,atr_window,atr_multiplier,kama_pow1,kama_pow2,rsi_buy_limit,rsi_sell_limit,num_cond,n_trade,rendimento_%,buy_hold_%,cagr_%,volatilita_%,sharpe,max_drawdown_%,buy_hold_drawdown_%,win_rate_%,profit_factor,trade_medio_%,trade_mediano_%,esposizione_%,durata_media_h,trade_per_anno,commissioni_%,secondi,griglia,stop_loss
1h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,45.0,80.0,,52,3384.168979331364,7962.376577570151,44.51862870376184,66.72039496301544,0.8859725836612847,85.64024146141614,83.93728308558705,69.23076923076923,1.5031344577175596,11.918741040426985,8.271064745528129,97.38193261404506,1582.9807692307693,5.39267461669506,155.7681245493034,0.31,close_bullish_ema,
1h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,40.0,80.0,,52,3384.168979331364,7962.376577570151,44.51862870376184,66.72039496301544,0.8859725836612847,85.64024146141614,83.93728308558705,69.23076923076923,1.5031344577175596,11.918741040426985,8.271064745528129,97.38193261404506,1582.9807692307693,5.39267461669506,155.7681245493034,0.31,close_bullish_ema,
1h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,50.0,80.0,,52,3384.168979331364,7962.376577570151,44.51862870376184,66.72039496301544,0.8859725836612847,85.64024146141614,83.93728308558705,69.23076923076923,1.5031344577175596,11.918741040426985,8.271064745528129,97.38193261404506,1582.9807692307693,5.39267461669506,155.7681245493034,0.3,close_bullish_ema,
1h,Close Bullish EMA,0.1,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,,293,300.0435757122114,7962.376577570151,15.462699453161832,46.18127002373718,0.5431862143957761,73.65711140884842,83.93728308558705,69.6245733788396,1.1258541017204922,0.7093622609107184,2.163294311167343,47.73566155593413,137.71331058020476,30.385647359454858,208.25756748854363,0.35,close_bullish_ema,
1h,Close EMA Crossover,0.1,12,24,36,50,100,200,5,1.6,2,30,,,,127,2854.760434658591,7962.376577570151,42.069524166464504,47.637604496669375,0.9743330371267157,66.81877052261973,83.93728308558705,37.00787401574803,1.4340017489460144,4.15278633741535,-2.1310669761475958,54.0885860306644,360.0,13.170570698466781,383.0412015887091,0.13,close_ema_crossover,
1h,Close EMA Crossover,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,185,4281.054496682721,7962.376577570151,47.99272804947839,48.34631292740731,1.0507128729654918,75.8911247469201,83.93728308558705,29.18918918918919,1.254882927622131,3.2649707100916343,-1.9411739502032885,53.687535491198176,245.3027027027027,19.18547700170358,1181.8159454604217,0.14,close_ema_crossover,
1h,Close EMA Crossover,0.1,12,24,36,20,50,100,5,1.6,2,30,,,,261,7185.889189923779,7962.376577570151,56.00886511787875,46.37986473684767,1.1875033655053733,60.405410869443884,83.93728308558705,36.015325670498086,1.2175652914976645,2.382934341088642,-1.3729219806179718,53.70764717016846,173.93869731800766,27.06707836456559,3057.0774118034665,0.14,close_ema_crossover,
1h,Trend Zones,0.1,12,24,36,200,50,200,5,1.6,2,30,,,,1473,809.6925759698671,7962.376577570151,25.73102013112809,48.1464222239528,0.7126502874985933,80.3704171957861,83.93728308558705,13.102511880515955,1.0469438665302968,0.2834012415923975,-0.5585078906060189,53.74432140829074,30.841140529531568,152.7578790459966,4369.7767569625175,0.05,trend_zones,
1h,Trend Zones,0.1,12,24,36,100,50,200,5,1.6,2,30,,,,2072,238.31518825894142,7962.376577570151,13.47323451800615,49.1634398633264,0.49900706473799156,86.94243652815885,83.93728308558705,15.54054054054054,1.0207156979662253,0.13065662291481614,-0.5444747729873451,53.549119818285064,21.845559845559844,214.8773424190801,3085.3264566863754,0.07,trend_zones,
1h,Trend Zones,0.1,12,24,36,50,50,200,5,1.6,2,30,,,,3293,-84.0230343427684,7962.376577570151,-17.320440778589507,50.81726758402504,-0.12444401150439968,97.17414937931326,83.93728308558705,16.793197692074095,0.972699324132845,-0.018382345349683197,-0.4813364446634548,53.84369676320273,13.821135742484056,341.5014906303237,787.4062658306864,0.09,trend_zones,
