lookback,top,every,regime,rendimento_%,CAGR_%,Sharpe,drawdown_%,ribilanciamenti,turnover_annuo
60,5,7,btc,465.3,36.0,1.0,48.4,159,10.4
60,5,14,none,100.3,13.1,0.5,68.8,117,7.2
60,5,14,btc,157.2,18.3,0.63,54.3,85,7.6
90,1,1,none,245.5,24.6,0.67,90.2,439,42.7
90,1,1,btc,1611.3,65.6,1.16,60.3,422,40.2
90,1,3,none,280.7,26.8,0.69,85.7,248,24.5
90,1,3,btc,1556.3,64.7,1.14,59.7,220,22.4
90,1,7,none,1166.0,57.0,0.96,90.0,151,14.6
90,1,7,btc,4622.4,98.3,1.43,58.5,129,14.2
90,1,14,none,834.7,48.7,0.89,87.9,100,10.7
90,1,14,btc,1673.0,66.7,1.13,65.2,77,11.0
90,2,1,none,83.7,11.4,0.49,80.9,1445,42.0
90,2,1,btc,672.4,43.8,1.08,43.7,846,35.8
90,2,3,none,131.8,16.1,0.55,74.7,488,25.0
90,2,3,btc,587.0,40.8,1.01,48.1,295,20.3
90,2,7,none,302.5,28.1,0.71,74.9,217,14.1
90,2,7,btc,1037.7,54.0,1.18,45.3,140,13.5
90,2,14,none,304.5,28.2,0.71,77.7,113,10.8
90,2,14,btc,491.0,37.1,0.9,55.8,78,10.4
90,3,1,none,103.5,13.4,0.51,75.3,1445,33.2
90,3,1,btc,420.7,34.1,0.97,42.0,846,31.4
90,3,3,none,154.9,18.1,0.58,69.1,488,17.6
90,3,3,btc,383.7,32.3,0.92,39.9,295,16.9
90,3,7,none,185.2,20.5,0.62,61.1,217,12.4
90,3,7,btc,486.2,36.9,1.0,42.4,140,13.0
90,3,14,none,136.6,16.5,0.56,68.1,113,8.6
90,3,14,btc,227.2,23.4,0.72,44.5,78,9.2
90,5,1,none,99.1,13.0,0.5,62.3,1445,18.1
90,5,1,btc,229.6,23.6,0.84,35.3,846,20.1
90,5,3,none,177.5,19.9,0.63,54.6,488,9.9
90,5,3,btc,278.6,26.7,0.9,38.3,295,11.3
90,5,7,none,157.8,18.3,0.6,49.9,217,7.1
90,5,7,btc,298.7,27.9,0.91,39.0,140,8.8
90,5,14,none,85.9,11.6,0.47,59.8,113,5.3
90,5,14,btc,116.6,14.7,0.58,38.9,78,6.6
