griglia,anno,rendimento_%,n_trade,capitale,configurazione
tp_sl_atr,2022,-55.1,135,0.399,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,-16.4,61,0.334,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,6.3,54,0.355,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,-36.4,181,0.226,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,5.6,19,0.239,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2019,49.2,20,1.492,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=50/100/200"
close_bullish_ema,2020,268.7,15,5.5,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=50/100/200"
close_bullish_ema,2021,18.1,9,6.498,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=50/100/200"
close_bullish_ema,2022,-65.4,14,2.245,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=50/100/200"
close_bullish_ema,2023,52.5,23,3.423,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=50, rsi_sell_limit=80, ema_triplet=50/100/200"
close_bullish_ema,2024,75.1,9,5.994,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=45, rsi_sell_limit=80, ema_triplet=20/50/100"
close_bullish_ema,2025,-21.8,6,4.689,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=45, rsi_sell_limit=80, ema_triplet=20/50/100"
close_bullish_ema,2026,-3.1,4,4.542,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=50, rsi_sell_limit=80, ema_triplet=20/50/100"
close_ema_crossover,2019,92.7,72,1.927,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=10/50/200"
close_ema_crossover,2020,190.0,73,5.589,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=10/50/200"
